,ID,UPDATE,STATUS,MOTIVE,INTEREST_RATE,AMOUNT,PRODUCT_ID,CAT,TXN,CP,DELIVERY_SCORE,SALES_CHANNEL
0,3,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
1,12,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
2,43,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
3,57,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
4,98,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
5,108,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
6,125,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
7,131,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
8,169,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
9,207,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
10,211,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
11,225,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
12,230,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
13,237,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
14,251,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
15,256,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
16,261,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
17,265,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
18,293,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
19,300,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
20,304,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
21,321,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
22,334,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
23,382,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
24,400,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
25,405,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
26,410,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
27,417,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
28,420,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
29,422,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
30,461,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
31,467,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
32,485,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
33,498,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
34,516,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
35,523,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
36,538,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
37,559,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
38,575,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
